ax,ay,rollFiltered,pitchFiltered
0.22,0.13,0.22,0.13
0.24,0.07,0.24,0.07
0.23,0.19,0.23,0.19
0.17,0.06,0.17,0.06
0.27,0.14,0.27,0.14
0.26,0.13,0.26,0.13
0.19,0.10,0.19,0.10
0.17,0.15,0.17,0.15
0.20,0.06,0.20,0.06
0.28,0.11,0.28,0.11
0.27,0.09,0.27,0.09
0.19,0.14,0.19,0.14
0.24,0.13,0.24,0.13
0.26,0.17,0.26,0.17
0.20,0.12,0.20,0.12
0.25,0.03,0.25,0.03
0.20,0.12,0.20,0.12
0.17,0.06,0.17,0.06
0.21,0.11,0.21,0.11
0.18,0.14,0.18,0.14
0.22,0.10,0.22,0.10
0.21,0.10,0.21,0.10
0.25,0.11,0.25,0.11
0.24,0.03,0.24,0.03
0.21,0.06,0.21,0.06
0.29,0.08,0.29,0.08
0.20,0.14,0.20,0.14
0.19,0.16,0.19,0.16
0.21,0.15,0.21,0.15
0.24,0.10,0.24,0.10
0.24,0.18,0.24,0.18
0.20,0.06,0.20,0.06
0.26,0.13,0.26,0.13
0.24,0.08,0.24,0.08
0.19,0.11,0.19,0.11
0.26,0.09,0.26,0.09
0.19,0.13,0.19,0.13
0.20,0.08,0.20,0.08
0.17,0.12,0.17,0.12
0.18,0.13,0.18,0.13
0.17,0.12,0.17,0.12
