ax,ay,rollFiltered,pitchFiltered
4.30,3.78,4.30,3.78
-9.26,1.78,-9.26,1.78
22.47,-3.83,22.47,-3.83
1.80,3.41,1.80,3.41
1.12,7.09,1.12,7.09
-4.53,-15.65,-4.53,-15.65
6.53,-0.61,6.53,-0.61
-2.71,15.51,-2.71,15.51
7.81,-7.62,7.81,-7.62
15.29,-9.20,15.29,-9.20
9.39,-0.15,9.39,-0.15
-11.82,-7.45,-11.82,-7.45
11.64,-13.62,11.64,-13.62
-7.11,-1.57,-7.11,-1.57
6.60,11.13,6.60,11.13
5.31,-10.38,5.31,-10.38
1.36,-8.10,1.36,-8.10
-8.36,9.32,-8.36,9.32
-15.00,-2.90,-15.00,-2.90
8.70,-13.60,8.70,-13.60
9.33,3.29,9.33,3.29
-11.52,-5.09,-11.52,-5.09
17.18,-7.19,17.18,-7.19
6.72,-1.42,6.72,-1.42
3.15,13.24,3.15,13.24
23.41,-8.22,23.41,-8.22
-3.85,-6.55,-3.85,-6.55
-10.27,3.98,-10.27,3.98
3.27,-6.20,3.27,-6.20
-14.12,-6.58,-14.12,-6.58
5.70,-1.02,5.70,-1.02
-10.37,-1.35,-10.37,-1.35
-9.26,-4.78,-9.26,-4.78
-3.99,-0.87,-3.99,-0.87
2.37,14.44,2.37,14.44
-18.60,-2.98,-18.60,-2.98
-4.43,9.28,-4.43,9.28
11.65,2.12,11.65,2.12
-10.88,-10.09,-10.88,-10.09
7.65,-8.20,7.65,-8.20
-4.19,-1.39,-4.19,-1.39
3.45,13.70,3.45,13.70
-0.58,-0.94,-0.58,-0.94
-1.09,-7.98,-1.09,-7.98
-9.11,1.34,-9.11,1.34
-4.46,1.08,-4.46,1.08
-15.99,-11.38,-15.99,-11.38
12.97,0.80,12.97,0.80
-7.55,11.88,-7.55,11.88
-3.70,-6.30,-3.70,-6.30
15.11,-0.20,15.11,-0.20
6.55,11.68,6.55,11.68
0.56,-3.26,0.56,-3.26
10.84,-4.95,10.84,-4.95
6.67,-0.75,6.67,-0.75
-17.63,-5.43,-17.63,-5.43
16.01,-15.97,16.01,-15.97
8.57,2.02,8.57,2.02
-5.41,-4.70,-5.41,-4.70
8.45,-7.23,8.45,-7.23
12.09,6.59,12.09,6.59
-8.18,3.32,-8.18,3.32
-1.30,-9.97,-1.30,-9.97
-0.65,4.77,-0.65,4.77
2.71,-0.44,2.71,-0.44
-11.84,-12.05,-11.84,-12.05
10.63,4.77,10.63,4.77
