ax,ay,rollFiltered,pitchFiltered
0.26,0.26,0.19,0.19
0.01,0.01,0.06,0.06
0.23,0.02,0.23,0.02
0.15,0.05,0.15,0.05
0.15,0.15,0.19,0.19
0.05,0.05,0.06,0.06
0.20,-0.00,0.20,-0.00
0.18,0.04,0.18,0.04
0.18,0.18,0.19,0.19
0.04,0.04,0.06,0.06
0.22,0.03,0.22,0.03
0.14,0.12,0.14,0.12
0.14,0.14,0.19,0.19
0.12,0.12,0.06,0.06
0.17,0.03,0.17,0.03
0.19,0.05,0.19,0.05
0.19,0.19,0.19,0.19
0.05,0.05,0.06,0.06
0.17,-0.01,0.17,-0.01
0.23,-0.01,0.23,-0.01
0.23,0.23,0.19,0.19
-0.01,-0.01,0.06,0.06
0.23,-0.02,0.23,-0.02
0.25,0.01,0.25,0.01
0.25,0.25,0.19,0.19
0.01,0.01,0.05,0.05
0.16,0.11,0.16,0.11
0.16,0.09,0.16,0.09
0.16,0.16,0.19,0.19
0.09,0.09,0.06,0.06
0.18,0.09,0.18,0.09
0.19,0.09,0.19,0.09
0.19,0.19,0.19,0.19
0.09,0.09,0.06,0.06
0.15,0.12,0.15,0.12
0.17,0.08,0.17,0.08
0.17,0.17,0.19,0.19
0.08,0.08,0.06,0.06
0.18,0.11,0.18,0.11
0.21,0.10,0.21,0.10
0.21,0.21,0.19,0.19
0.10,0.10,0.06,0.06
0.18,0.05,0.18,0.05
0.26,0.04,0.26,0.04
0.26,0.26,0.19,0.19
0.04,0.04,0.06,0.06
0.17,0.04,0.17,0.04
0.22,0.06,0.22,0.06
0.22,0.22,0.20,0.20
0.06,0.06,0.06,0.06
0.19,0.10,0.19,0.10
0.23,0.07,0.23,0.07
0.23,0.23,0.20,0.20
0.07,0.07,0.06,0.06
0.17,0.08,0.17,0.08
0.17,0.07,0.17,0.07
0.17,0.17,0.20,0.20
0.07,0.07,0.06,0.06
0.23,0.10,0.23,0.10
0.14,0.09,0.14,0.09
0.14,0.14,0.19,0.19
0.09,0.09,0.06,0.06
0.17,0.06,0.17,0.06
0.21,0.11,0.21,0.11
0.21,0.21,0.19,0.19
0.11,0.11,0.07,0.07
0.17,0.08,0.17,0.08
0.25,0.06,0.25,0.06
0.25,0.25,0.20,0.20
0.06,0.06,0.06,0.06
0.18,0.10,0.18,0.10
0.15,0.10,0.15,0.10
0.15,0.15,0.19,0.19
0.10,0.10,0.07,0.07
0.13,0.06,0.13,0.06
0.15,0.11,0.15,0.11
0.15,0.15,0.19,0.19
0.11,0.11,0.07,0.07
0.20,0.07,0.20,0.07
0.19,0.02,0.19,0.02
0.19,0.19,0.19,0.19
0.02,0.02,0.07,0.07
0.18,0.05,0.18,0.05
0.22,0.03,0.22,0.03
0.22,0.22,0.19,0.19
0.03,0.03,0.06,0.06
0.21,0.01,0.21,0.01
0.26,0.03,0.26,0.03
0.26,0.26,0.20,0.20
0.03,0.03,0.06,0.06
0.14,0.09,0.14,0.09
0.20,0.08,0.20,0.08
0.20,0.20,0.20,0.20
0.08,0.08,0.06,0.06
0.16,0.05,0.16,0.05
0.18,0.04,0.18,0.04
0.18,0.18,0.20,0.20
0.04,0.04,0.06,0.06
0.17,0.10,0.17,0.10
0.15,0.05,0.15,0.05
0.15,0.15,0.19,0.19
0.05,0.05,0.06,0.06
0.14,0.10,0.14,0.10
0.22,-0.01,0.22,-0.01
0.22,0.22,0.19,0.19
-0.01,-0.01,0.06,0.06
0.18,0.04,0.18,0.04
0.19,0.07,0.19,0.07
0.19,0.19,0.19,0.19
0.07,0.07,0.06,0.06
0.19,0.07,0.19,0.07
0.18,0.06,0.18,0.06
0.17,0.07,0.17,0.07
0.17,0.17,0.19,0.19
0.07,0.07,0.06,0.06
0.21,0.11,0.21,0.11
0.15,0.10,0.15,0.10
0.15,0.15,0.19,0.19
0.10,0.10,0.06,0.06
0.17,0.04,0.17,0.04
0.21,0.07,0.21,0.07
0.21,0.21,0.19,0.19
0.07,0.07,0.06,0.06
0.19,0.05,0.19,0.05
0.12,0.03,0.12,0.03
