ax,ay,rollFiltered,pitchFiltered
0.25,-0.06,0.25,-0.06
0.21,0.13,0.21,0.13
0.21,0.21,-0.04,-0.04
0.13,0.13,0.01,0.01
0.15,0.17,0.15,0.17
0.20,0.03,0.20,0.03
0.20,0.20,-0.04,-0.04
0.03,0.03,-0.01,-0.01
0.27,0.16,0.27,0.16
0.20,0.17,0.20,0.17
0.20,0.20,-0.03,-0.03
0.17,0.17,0.02,0.02
0.35,-0.02,0.35,-0.02
0.28,-0.05,0.28,-0.05
0.28,0.28,-0.00,-0.00
-0.05,-0.05,-0.03,-0.03
0.32,0.08,0.32,0.08
-0.11,0.15,-0.11,0.15
-0.11,-0.11,-0.10,-0.10
0.15,0.15,-0.00,-0.00
0.26,0.12,0.26,0.12
0.00,0.04,0.00,0.04
0.00,0.00,-0.13,-0.13
0.04,0.04,-0.02,-0.02
0.29,0.09,0.29,0.09
0.23,0.07,0.23,0.07
0.23,0.23,-0.09,-0.09
0.07,0.07,-0.02,-0.02
0.29,0.11,0.29,0.11
0.16,0.07,0.16,0.07
0.16,0.16,-0.08,-0.08
0.07,0.07,-0.02,-0.02
0.24,0.07,0.24,0.07
0.28,0.04,0.28,0.04
0.28,0.28,-0.04,-0.04
0.04,0.04,-0.03,-0.03
0.29,0.11,0.29,0.11
0.25,0.05,0.25,0.05
0.25,0.25,-0.01,-0.01
0.05,0.05,-0.03,-0.03
0.15,0.09,0.15,0.09
0.30,0.12,0.30,0.12
0.30,0.30,0.02,0.02
0.12,0.12,-0.01,-0.01
0.10,0.07,0.10,0.07
0.40,0.11,0.40,0.11
0.40,0.40,0.07,0.07
0.11,0.11,-0.00,-0.00
0.31,0.16,0.31,0.16
0.46,0.26,0.46,0.26
0.46,0.46,0.12,0.12
0.26,0.26,0.05,0.05
0.06,0.10,0.06,0.10
0.09,0.03,0.09,0.03
0.09,0.09,0.05,0.05
0.03,0.03,0.02,0.02
0.18,0.14,0.18,0.14
0.35,0.19,0.35,0.19
0.35,0.35,0.07,0.07
0.19,0.19,0.04,0.04
0.23,0.03,0.23,0.03
0.20,-0.01,0.20,-0.01
0.20,0.20,0.05,0.05
