ax,ay,rollFiltered,pitchFiltered
0.19,0.14,0.19,0.14
0.27,0.12,0.27,0.12
0.27,0.27,0.09,0.09
0.12,0.12,0.26,0.26
0.21,0.08,0.21,0.08
0.23,0.09,0.23,0.09
0.23,0.23,0.09,0.09
0.09,0.09,0.26,0.26
0.16,0.15,0.16,0.15
0.25,0.13,0.25,0.13
0.25,0.25,0.09,0.09
0.13,0.13,0.26,0.26
0.20,0.06,0.20,0.06
0.23,0.08,0.23,0.08
0.23,0.23,0.08,0.08
0.08,0.08,0.26,0.26
0.25,0.15,0.25,0.15
0.28,0.20,0.28,0.20
0.28,0.28,0.09,0.09
0.20,0.20,0.27,0.27
0.21,0.08,0.21,0.08
0.27,0.10,0.27,0.10
0.27,0.27,0.09,0.09
0.10,0.10,0.27,0.27
0.18,0.09,0.18,0.09
0.23,0.11,0.23,0.11
0.23,0.23,0.09,0.09
0.11,0.11,0.27,0.27
0.19,0.12,0.19,0.12
0.22,0.09,0.22,0.09
0.22,0.22,0.08,0.08
0.09,0.09,0.26,0.26
0.24,0.08,0.24,0.08
0.25,0.06,0.25,0.06
0.25,0.25,0.08,0.08
0.06,0.06,0.25,0.25
0.25,0.13,0.25,0.13
0.27,0.11,0.27,0.11
0.27,0.27,0.08,0.08
0.11,0.11,0.24,0.24
0.22,0.06,0.22,0.06
0.20,0.09,0.20,0.09
0.20,0.20,0.08,0.08
0.09,0.09,0.24,0.24
0.24,0.09,0.24,0.09
0.21,0.11,0.21,0.11
0.21,0.21,0.07,0.07
0.11,0.11,0.24,0.24
0.16,0.17,0.16,0.17
0.23,0.09,0.23,0.09
0.23,0.23,0.07,0.07
0.09,0.09,0.24,0.24
0.22,0.11,0.22,0.11
0.24,0.09,0.24,0.09
0.24,0.24,0.07,0.07
0.09,0.09,0.24,0.24
0.24,0.13,0.24,0.13
0.19,0.15,0.19,0.15
0.19,0.19,0.06,0.06
0.15,0.15,0.25,0.25
0.23,0.09,0.23,0.09
0.20,0.08,0.20,0.08
0.20,0.20,0.05,0.05
0.08,0.08,0.25,0.25
0.27,0.16,0.27,0.16
0.20,0.17,0.20,0.17
0.20,0.20,0.05,0.05
0.17,0.17,0.26,0.26
0.17,0.07,0.17,0.07
0.26,0.07,0.26,0.07
0.26,0.26,0.05,0.05
0.07,0.07,0.26,0.26
0.24,0.16,0.24,0.16
0.27,0.12,0.27,0.12
0.27,0.27,0.07,0.07
0.12,0.12,0.25,0.25
0.21,0.05,0.21,0.05
0.23,0.03,0.23,0.03
0.23,0.23,0.07,0.07
0.03,0.03,0.24,0.24
0.26,0.11,0.26,0.11
0.20,0.18,0.20,0.18
0.20,0.20,0.07,0.07
0.18,0.18,0.24,0.24
0.26,0.11,0.26,0.11
0.23,0.11,0.23,0.11
0.23,0.23,0.06,0.06
0.11,0.11,0.26,0.26
0.18,0.09,0.18,0.09
0.23,0.07,0.23,0.07
0.23,0.23,0.06,0.06
0.07,0.07,0.25,0.25
0.24,0.14,0.24,0.14
0.24,0.15,0.24,0.15
0.24,0.24,0.06,0.06
0.15,0.15,0.25,0.25
0.21,0.10,0.21,0.10
0.16,0.11,0.16,0.11
0.16,0.16,0.06,0.06
0.11,0.11,0.25,0.25
0.28,0.15,0.28,0.15
0.24,0.10,0.24,0.10
0.24,0.24,0.05,0.05
0.10,0.10,0.25,0.25
0.22,0.09,0.22,0.09
0.21,0.11,0.21,0.11
0.21,0.21,0.05,0.05
0.11,0.11,0.25,0.25
0.23,0.10,0.23,0.10
0.20,0.12,0.20,0.12
0.20,0.20,0.05,0.05
0.19,0.19,0.02,0.02
0.11,0.11,0.16,0.16
0.27,0.11,0.27,0.11
0.19,0.07,0.19,0.07
0.19,0.19,0.01,0.01
0.07,0.07,0.15,0.15
0.33,0.14,0.33,0.14
0.32,0.15,0.32,0.15
0.32,0.32,0.03,0.03
0.15,0.15,0.15,0.15
0.24,0.05,0.24,0.05
0.21,0.04,0.21,0.04
0.21,0.21,0.04,0.04
0.04,0.04,0.15,0.15
0.22,0.06,0.22,0.06
0.20,0.14,0.20,0.14
0.20,0.20,0.04,0.04
0.14,0.14,0.15,0.15
0.28,0.11,0.28,0.11
0.26,0.05,0.26,0.05
0.26,0.26,0.04,0.04
0.05,0.05,0.15,0.15
0.19,0.10,0.19,0.10
0.23,0.14,0.23,0.14
0.23,0.23,0.04,0.04
0.14,0.14,0.15,0.15
0.11,0.10,0.11,0.10
0.19,0.15,0.19,0.15
0.19,0.19,0.04,0.04
0.15,0.15,0.16,0.16
0.23,0.09,0.23,0.09
0.27,0.08,0.27,0.08
0.27,0.27,0.04,0.04
0.08,0.08,0.16,0.16
0.27,0.19,0.27,0.19
0.28,0.10,0.28,0.10
0.28,0.28,0.05,0.05
0.10,0.10,0.15,0.15
0.21,0.09,0.21,0.09
0.23,0.09,0.23,0.09
0.23,0.23,0.06,0.06
0.09,0.09,0.15,0.15
0.18,0.14,0.18,0.14
0.43,0.11,0.43,0.11
0.43,0.43,0.08,0.08
0.11,0.11,0.15,0.15
0.15,0.10,0.15,0.10
0.32,0.20,0.32,0.20
0.32,0.32,0.11,0.11
0.20,0.20,0.17,0.17
0.16,0.10,0.16,0.10
0.16,0.13,0.16,0.13
0.16,0.16,0.09,0.09
0.13,0.13,0.18,0.18
0.15,0.22,0.15,0.22
0.31,0.20,0.31,0.20
0.31,0.31,0.08,0.08
